Answer,Question,A,B,C,D,Answer
16,Phát biểu nào sau đây đúng với chuyển dịch cơ cấu ngành kinh tế ở nước ta hiện nay?,"A. Đang chuyển dịch theo hướng công nghiệp hóa, hiện đại hóa",B. Tốc độ chuyển dịch cơ cấu ngành trong GDP diễn ra rất nhanh.,C. Đáp ứng được hoàn toàn yêu cầu phát triển đất nước hiện nay.,D. Tỉ trọng của khu vực nông - lâm - ngư nghiệp tăng qua các năm.,A
17,Phát biểu nào sau đây không đúng về giao thông đường sông nước ta hiện nay?,A. Trang thiết bị cảng sông còn lạc hậu.,B. Tập trung chủ yếu ở các đồng bằng.,C. Phương tiện vận tải ít được cải tiến.,D. Tuyến đường sông dày đặc khắp cả nước.,D
18,"Căn cứ vào Atlat Địa lí Việt Nam trang 9, cho biết phát biểu nào sau đây không đúng về chế không độ nhiệt của Hà Nội so với Cà Mau?",A. Nhiệt độ trung bình tháng I thấp hơn.,B. Biên độ nhiệt độ trung bình năm lớn hơn.,C. Nhiệt độ trung bình tháng VII thấp hơn.,D. Nhiệt độ trung bình năm thấp hơn.,C
19,Nhân tố nào sau đây có tác động mạnh nhất đến phát triển giao thông vận tải biển nước ta hiện nay?,"A. Vị trí ở gần các tuyến hàng hải quốc tế, nhiều vũng, vịnh.","B. Vùng biển có diện tích rộng, thông với Thái Bình Dương.","C. Sản xuất trong nước phát triển, đẩy mạnh xuất, nhập khẩu.","D. Có nhiều tỉnh giáp biển, lượng hàng hóa vận chuyển tăng.",C
20,Các ngành công nghiệp kĩ thuật cao của Trung Quốc trong những năm gần đây phát triển nhanh chủ yếu là do,"A. mở rộng thị trường tiêu thụ, sử dụng lực lượng lao động đông.","B. hiện đại hóa cơ sở hạ tầng, nâng cao chất lượng nguồn lao động.","C. chuyển đổi cơ cấu kinh tế theo ngành, tăng cường vốn đầu tư.","D. thu hút đầu tư trong và ngoài nước, ứng dụng công nghệ mới.",D
21,Công nghiệp sản xuất và lắp ráp ô tô của Đông Nam Á phát triển nhanh trong những năm gần đây chủ yếu là do,A. nâng cao trình độ tay nghề cho người lao động.,B. thu hút ngày càng nhiều nguồn vốn trong nước.,C. liên doanh với các hãng nổi tiếng ở nước ngoài.,D. tiến hành hiện đại hóa cơ sở vật chất kĩ thuật.,C
22,Phát biểu nào sau đây không đúng về thế mạnh của vùng kinh tế trọng điểm phía Bắc nước ta?,A. Chất lượng lao động vào loại hàng đầu,B. Có trình độ phát triển kinh tế cao nhất.,C. Các ngành công nghiệp phát triển rất sớm.,D. Lịch sử khai thác lãnh thổ lâu đời nhất.,B
23,Điều kiện thuận lợi chủ yếu để Nhật Bản phát triển đánh bắt hải sản là,A. có truyền thống đánh bắt lâu đời.,B. có nhiều ngư trường rộng lớn,C. ngư dân có nhiều kinh nghiệm.,D. công nghiệp chế biến phát triển.,B
24,"Căn cứ vào Atlat Địa lí Việt Nam trang 22, cho biết phát biểu nào sau đây đúng về không công nghiệp năng lượng nước ta?",A. Nhà máy thủy điện Hòa Bình nằm trên sông Đà.,B. Sản lượng điện cả nước tăng liên tục qua các năm,C. Từ Thanh Hóa đến Huế nhiều nhà máy điện nhất,D. Nhà máy điện Cà Mau chạy bằng nhiên liệu khí.,C
25,Việc phát triển nghề thủ công truyền thống ở Đồng bằng sông Hồng hiện nay góp phần quan trọng nhất vào,A. thay đổi phân bố dân cư trong vùng.,B. thúc đẩy quá trình công nghiệp hóa,C. giải quyết sức ép về vấn đề việc làm.,D. đẩy nhanh chuyển dịch cơ cấu kinh tế.,C
