Number,Question,A,B,C,D,Answer
15,Thành công của cuộc Tổng tuyển cử bầu Quốc hội (1946) ở Việt Nam chứng tỏ,sự ủng hộ to lớn của cộng đồng quốc tế đối với Việt Nam.,quyền lực nhà nước chính thức thuộc về cơ quan hành pháp.,nhân dân có tinh thần đoàn kết và ý thức làm chủ đất nước.,"nhân dân bước đầu giành chính quyền, làm chủ đất nước.",C
16,Điểm khác của khởi nghĩa Yên Thế (1884 - 1913) so với các cuộc khởi nghĩa trong phong trào Cần vương (1885 - 1896) là về,phương pháp đấu tranh.,lực lượng chủ yếu,xuất thân của người lãnh đạo.,kết quả đấu tranh.,C
17, Chiến tranh thế giới thứ hai (1939 - 1945) kết thúc đã,tạo nên sự cân bằng về thế và lực giữa các nước tư bản.,mở ra thời kỳ khủng hoảng kéo dài của chủ nghĩa tư bản.,. tạo ra những thay đổi căn bản trong tình hình thế giới.,giải quyết được mâu thuẫn giữa đế quốc với thuộc địa,C
18,"Từ tháng 4 - 1953 đến tháng 7 - 1954, Chính phủ nước Việt Nam Dân chủ Cộng hòa thực hiện",cải cách ruộng đất ở một số nơi trong vùng tự do.,giảm tức và xóa nợ ở những vùng gặp thiên tai.,giảm tô và hoãn nợ trong các vùng có chiến sự,chia lại công điền và công thổ ở vùng Pháp tạm chiếm.,A
19,Chủ trương cứu nước của Phan Châu Trinh (đầu thế kỷ XX) có nội dung nào dưới đây?," Đề cao cải cách, duy tân nhằm nâng cao dân trí và dân quyền","Đánh đuổi giặc Pháp, thành lập Cộng hòa Dân quốc Việt Nam.","Chấn hưng thực nghiệp, lập hội kinh doanh, phát triển kinh tế.",. Dựa vào Pháp đánh đổ ngôi vua và chế độ phong kiến lạc hậu.,B
20,": Trong chiến lược Chiến tranh đặc biệt (1961 - 1965) ở miền Nam Việt Nam, Mỹ và chính quyền Sài Gòn thực hiện biện pháp nào dưới đây?",Triển khai hoạt động chống phá miền Bắc.,Tiến hành các cuộc hành quân càn quét., Mở những cuộc hành quân “tìm diệt”.,Tiến hành dồn dân lập “ấp chiến lược”.,C
21, Cách mạng tháng Tám năm 1945 và cuộc Tổng tiến công và nổi dậy Xuân 1975 ở Việt Nam có điểm chung là,xóa bỏ được tình trạng đất nước bị chia cắt.,hoàn thành cuộc cách mạng dân chủ nhân dân.,. hoàn thành thống nhất đất nước về mặt nhà nước.,được sự ủng hộ mạnh mẽ của nhân dân thế giới.,A
22,Phong trào yêu nước và cách mạng ở Việt Nam từ đầu thế kỷ XX đến năm 1914 có điểm gì mới so với phong trào yêu nước trước đó?,Do giai cấp tư sản mới ra đời lãnh đạo,Sử dụng hình thức đấu tranh vũ trang.,Đoàn kết nhân dân trong một mặt trận,Gắn cứu nước với canh tân đất nước.,D
23,Cương lĩnh chính trị đầu tiên của Đảng Cộng sản Việt Nam có điểm gì khác so với Luận cương chính trị tháng 10 - 1930 của Đảng Cộng sản Đông Dương?,Khẳng định vai trò lãnh đạo thuộc về chính đảng vô sản.,Xác định được công nhân và nông dân là lực lượng cách mạng.,Đánh giá đúng khả năng chống đế quốc của giai cấp bóc lột.,Xác định đúng nhiệm vụ cách mạng là đánh đổ đế quốc.,C
24,"Trong quá trình thực hiện chiến lược toàn cầu từ sau Chiến tranh thế giới thứ hai đến năm 2000, Mỹ đạt được kết quả nào dưới đây?",Duy trì sự tồn tại và hoạt động của tất cả các tổ chức quân sự.,Chi phối được nhiều nước tư bản đồng minh phụ thuộc vào Mỹ.,Trực tiếp xóa bỏ hoàn toàn chế độ phân biệt chủng tộc,Duy trì vị trí cường quốc số một thế giới trên mọi lĩnh vực.,B
25,Biện pháp cơ bản được Mỹ thực hiện xuyên suốt trong các chiến lược chiến tranh ở miền Nam Việt Nam (1961 - 1973) là,tiến hành chiến tranh tổng lực,"ra sức chiếm đất, giành dân.",sử dụng quân đội đồng minh.,sử dụng quân đội Mỹ làm nòng cốt.,B
