Number,Question,A,B,C,D,Answer
15,Thành công c?a cu?c T?ng tuy?n c? b?u Qu?c h?i (1946) ? Vi?t Nam ch?ng t?,s? ?ng h? to l?n c?a c?ng ð?ng qu?c t? ð?i v?i Vi?t Nam.,quy?n l?c nhà ný?c chính th?c thu?c v? cõ quan hành pháp.,nhân dân có tinh th?n ðoàn k?t và ? th?c làm ch? ð?t ný?c.,"nhân dân bý?c ð?u giành chính quy?n, làm ch? ð?t ný?c.",C
16,Ði?m khác c?a kh?i ngh?a Yên Th? (1884 - 1913) so v?i các cu?c kh?i ngh?a trong phong trào C?n výõng (1885 - 1896) là v?,phýõng pháp ð?u tranh.,l?c lý?ng ch? y?u,xu?t thân c?a ngý?i l?nh ð?o.,k?t qu? ð?u tranh.,C
17, Chi?n tranh th? gi?i th? hai (1939 - 1945) k?t thúc ð?,t?o nên s? cân b?ng v? th? và l?c gi?a các ný?c tý b?n.,m? ra th?i k? kh?ng ho?ng kéo dài c?a ch? ngh?a tý b?n.,. t?o ra nh?ng thay ð?i cãn b?n trong t?nh h?nh th? gi?i.,gi?i quy?t ðý?c mâu thu?n gi?a ð? qu?c v?i thu?c ð?a,C
18,"T? tháng 4 - 1953 ð?n tháng 7 - 1954, Chính ph? ný?c Vi?t Nam Dân ch? C?ng h?a th?c hi?n",c?i cách ru?ng ð?t ? m?t s? nõi trong vùng t? do.,gi?m t?c và xóa n? ? nh?ng vùng g?p thiên tai.,gi?m tô và ho?n n? trong các vùng có chi?n s?,chia l?i công ði?n và công th? ? vùng Pháp t?m chi?m.,A
19,Ch? trýõng c?u ný?c c?a Phan Châu Trinh (ð?u th? k? XX) có n?i dung nào dý?i ðây?," Ð? cao c?i cách, duy tân nh?m nâng cao dân trí và dân quy?n","Ðánh ðu?i gi?c Pháp, thành l?p C?ng h?a Dân qu?c Vi?t Nam.","Ch?n hýng th?c nghi?p, l?p h?i kinh doanh, phát tri?n kinh t?.",. D?a vào Pháp ðánh ð? ngôi vua và ch? ð? phong ki?n l?c h?u.,B
20,": Trong chi?n lý?c Chi?n tranh ð?c bi?t (1961 - 1965) ? mi?n Nam Vi?t Nam, M? và chính quy?n Sài G?n th?c hi?n bi?n pháp nào dý?i ðây?",Tri?n khai ho?t ð?ng ch?ng phá mi?n B?c.,Ti?n hành các cu?c hành quân càn quét., M? nh?ng cu?c hành quân “t?m di?t”.,Ti?n hành d?n dân l?p “?p chi?n lý?c”.,C
21, Cách m?ng tháng Tám nãm 1945 và cu?c T?ng ti?n công và n?i d?y Xuân 1975 ? Vi?t Nam có ði?m chung là,xóa b? ðý?c t?nh tr?ng ð?t ný?c b? chia c?t.,hoàn thành cu?c cách m?ng dân ch? nhân dân.,. hoàn thành th?ng nh?t ð?t ný?c v? m?t nhà ný?c.,ðý?c s? ?ng h? m?nh m? c?a nhân dân th? gi?i.,A
22,Phong trào yêu ný?c và cách m?ng ? Vi?t Nam t? ð?u th? k? XX ð?n nãm 1914 có ði?m g? m?i so v?i phong trào yêu ný?c trý?c ðó?,Do giai c?p tý s?n m?i ra ð?i l?nh ð?o,S? d?ng h?nh th?c ð?u tranh v? trang.,Ðoàn k?t nhân dân trong m?t m?t tr?n,G?n c?u ný?c v?i canh tân ð?t ný?c.,D
23,Cýõng l?nh chính tr? ð?u tiên c?a Ð?ng C?ng s?n Vi?t Nam có ði?m g? khác so v?i Lu?n cýõng chính tr? tháng 10 - 1930 c?a Ð?ng C?ng s?n Ðông Dýõng?,Kh?ng ð?nh vai tr? l?nh ð?o thu?c v? chính ð?ng vô s?n.,Xác ð?nh ðý?c công nhân và nông dân là l?c lý?ng cách m?ng.,Ðánh giá ðúng kh? nãng ch?ng ð? qu?c c?a giai c?p bóc l?t.,Xác ð?nh ðúng nhi?m v? cách m?ng là ðánh ð? ð? qu?c.,C
24,"Trong quá tr?nh th?c hi?n chi?n lý?c toàn c?u t? sau Chi?n tranh th? gi?i th? hai ð?n nãm 2000, M? ð?t ðý?c k?t qu? nào dý?i ðây?",Duy tr? s? t?n t?i và ho?t ð?ng c?a t?t c? các t? ch?c quân s?.,Chi ph?i ðý?c nhi?u ný?c tý b?n ð?ng minh ph? thu?c vào M?.,Tr?c ti?p xóa b? hoàn toàn ch? ð? phân bi?t ch?ng t?c,Duy tr? v? trí cý?ng qu?c s? m?t th? gi?i trên m?i l?nh v?c.,B
25,Bi?n pháp cõ b?n ðý?c M? th?c hi?n xuyên su?t trong các chi?n lý?c chi?n tranh ? mi?n Nam Vi?t Nam (1961 - 1973) là,ti?n hành chi?n tranh t?ng l?c,"ra s?c chi?m ð?t, giành dân.",s? d?ng quân ð?i ð?ng minh.,s? d?ng quân ð?i M? làm n?ng c?t.,B
