Number,Question,A,B,C,D,Answer
13,"Khi nói về mối quan hệ giữa các cá thể trong quần thể sinh vật, phát biểu nào sau đây đúng?"," Ở thực vật, cạnh tranh cùng loài có thể dẫn đến hiện tượng tự tỉa thư", Ăn thịt lẫn nhau là hiện tượng xảy ra phổ biến ở các quần thể động vật., Số lượng cá thể trong quần thể càng tăng thì sự cạnh tranh cùng loài càng giảm., Khi nguồn thức ăn của quần thể càng dồi dào thì sự cạnh tranh về dinh dưỡng càng gay gắt.,A
14,"Một phân tử ADN ở vi khuẩn có tỉ lệ (A + T)/(G + X) = 2/3. Theo lí thuyết, tỉ lệ nuclêôtit loại G của phân tử này là", 30%., 60%., 15%., 20%.,A
15,"Khi nói về điểm khác nhau cơ bản giữa hệ sinh thái nhân tạo và hệ sinh thái tự nhiên, phát biểu nào sau đây đúng?", Hệ sinh thái nhân tạo thường có độ đa dạng sinh học cao hơn hệ sinh thái tự nhiên., Hệ sinh thái nhân tạo thường có khả năng tự điều chỉnh cao hơn hệ sinh thái tự nhiên, Hệ sinh thái nhân tạo thường kém ổn định hơn hệ sinh thái tự nhiên., Hệ sinh thái nhân tạo thường có lưới thức ăn phức tạp hơn hệ sinh thái tự nhiên.,C
16,"Dùng cônsixin xử lí hợp tử có kiểu gen AaBb, sau đó cho phát triển thành cây hoàn chỉnh thì có thể tạo ra được thể tứ bội có kiểu gen", AAaaBbb,B AAaaBBb,C AAAaBBb,D AaaaBBb,B
17,"Khi nói về tiêu hóa ở động vật, phát biểu nào sau đây đúng?"," Ở thỏ, quá trình tiêu hóa hóa học chỉ diễn ra ở manh tràng."," Ở người, quá trình tiêu hóa hóa học chỉ diễn ra ở ruột non."," Ở động vật nhai lại, dạ múi khế có khả năng tiết ra enzim pepsin và HCl."," Ở thủy tức, thức ăn chỉ được tiêu hóa nội bào.",C
18,"Khi nói về vai trò của đột biến đối với quá trình tiến hoá, phát biểu nào sau đây đúng?", Đột biến đa bội có thể dẫn đến hình thành loài mới., Đột biến gen trong tự nhiên làm thay đổi nhanh chóng tần số alen của quần thể., Đột biến cấu trúc nhiễm sắc thể không có ý nghĩa đối với quá trình tiến hoá., Đột biến cung cấp nguyên liệu thứ cấp cho quá trình tiến hoá.,A
19,"Khi nói về ổ sinh thái, có bao nhiêu phát biểu sau đây đúng? I. Giới hạn sinh thái của một nhân tố sinh thái là ổ sinh thái của loài về nhân tố sinh thái đó. II. Ổ sinh thái của một loài chính là nơi ở của chúng. III. Các loài có ổ sinh thái trùng nhau càng nhiều thì sự cạnh tranh giữa chúng càng gay gắt. IV. Kích thước thức ăn, hình thức bắt mồi,... của mỗi loài tạo nên các ổ sinh thái về dinh dưỡng.",1,3,4,2,B
20,"Một loài thực vật, alen A quy định thân cao trội hoàn toàn so với alen a quy định thân thấp; alen B quy định quả ngọt trội hoàn toàn so với alen b quy định quả chu Cho cây thân cao, quả ngọt (P) tự thụ phấn, thu được F gồm 4 loại kiểu hình, trong đó có 21% số cây thân thấp, quả ngọt. 1 Biết rằng không xảy ra đột biến. Theo lí thuyết, phát biểu nào sau đây đúng?"," Ở F , có 3 loại kiểu gen cùng quy định kiểu hình thân thấp, quả ngọt.", Quá trình giảm phân ở cây P đã xảy ra hoán vị gen với tần số 20%.," Trong tổng số cây thân cao, quả ngọt ở F , có 2/27 số cây có kiểu gen đồng hợp tử về cả 2 cặp gen.", F có tối đa 5 loại kiểu gen đồng hợp tử về cả 2 cặp gen.,C
21,"Một quần thể ngẫu phối có tần số kiểu gen là 0,36 AA : 0,48 Aa : 0,16 a Theo lí thuyết, có bao nhiêu phát biểu sau đây đúng? I. Nếu không có tác động của các nhân tố tiến hóa thì ở F có 60% số cá thể mang alen  1 II. Nếu có tác động của nhân tố đột biến thì có thể làm tăng đa dạng di truyền của quần thể. III. Nếu có tác động của các yếu tố ngẫu nhiên thì alen a có thể bị loại bỏ hoàn toàn khỏi quần thể. IV. Nếu chỉ chịu tác động của di - nhập gen thì có thể sẽ làm tăng tần số alen A",2,4,1,3,C
22,"Khi nói về đột biến cấu trúc nhiễm sắc thể, có bao nhiêu phát biểu sau đây đúng? I. Đột biến đảo đoạn nhiễm sắc thể làm thay đổi trình tự phân bố các gen trên một nhiễm sắc thể. II. Đột biến chuyển đoạn giữa 2 nhiễm sắc thể không tương đồng làm thay đổi nhóm gen liên kết. III. Có thể gây đột biến mất đoạn nhỏ để loại khỏi nhiễm sắc thể những gen không mong muốn. IV. Đột biến lặp đoạn có thể làm cho hai alen của một gen cùng nằm trên một nhiễm sắc thể.",3,1,4,2,C
23,"Khi nói về hệ tuần hoàn của người bình thường, có bao nhiêu phát biểu sau đây đúng? I. Tim co dãn tự động theo chu kì là do hệ dẫn truyền tim. II. Khi tâm thất co, máu được đẩy vào động mạch. III. Máu trong buồng tâm nhĩ trái nghèo ôxi hơn máu trong buồng tâm nhĩ phải. IV. Máu trong tĩnh mạch chủ nghèo ôxi hơn máu trong động mạch chủ.",,2,1,3,D
24,"Khi nói về pha sáng của quang hợp ở thực vật, có bao nhiêu phát biểu sau đây đúng? I. Quang phân li nước diễn ra trong xoang của tilacôit. II. Sản phẩm của pha sáng cung cấp cho pha tối là NADPH và ATP. III. Ôxi được giải phóng từ quá trình quang phân li nướ IV. Pha sáng chuyển hóa năng lượng của ánh sáng thành năng lượng trong ATP và NADPH.",1,4,2,3,B
25,"Một loài động vật, xét 2 cặp gen cùng nằm trên 1 cặp nhiễm sắc thể thường; mỗi gen quy định một tính trạng, mỗi gen đều có 2 alen và các alen trội là trội hoàn toàn. Biết rằng không xảy ra đột biến. Theo lí thuyết, có bao nhiêu dự đoán sau đây đúng? I. Lai hai cá thể với nhau có thể thu được đời con gồm toàn cá thể dị hợp tử về 1 cặp gen. II. Lai hai cá thể với nhau có thể thu được đời con có 5 loại kiểu gen. III. Cho cơ thể dị hợp tử về 2 cặp gen lai với cơ thể dị hợp tử về 1 cặp gen, thu được đời con có số cá thể đồng hợp tử về 2 cặp gen chiếm 30%. IV. Lai hai cá thể với nhau có thể thu được đời con có 4 loại kiểu hình với tỉ lệ bằng nhau.",3,2,1,4,B
